,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.07014466646340355,0.46526569109462357,0.05941463421904074,0.12305818708582963,0.26134418285759303,R
1,0.4717079191132631,0.3265970656466745,0.27516428108108965,0.3026942132796339,0.5482774328670915,R
2,0.8382849978533361,0.5446539517395222,0.7932397707277263,0.6095999211019097,0.47535080652471023,M
3,0.19499515357767266,0.11110638462099558,0.11587938416269845,0.2563967943544382,0.2825430546439989,R
4,0.8138643087958315,0.664802299613888,0.5237735355438925,0.6684102109959077,0.4966190038972326,M
5,0.0557530868975411,0.1674819854808631,0.0013728799224333548,0.4210526624625872,0.5189607422813554,R
6,0.5571840116306698,0.8836745962829298,0.9824985446326684,0.41772314169498975,0.9373841341316744,M
7,0.45257715456873426,0.2161387048196349,0.13659033999407785,0.43652549653140776,0.4526822427628599,R
8,0.2878268265867948,0.374290287889934,0.44406858805650556,0.3584646194919046,0.10875561419446182,R
9,0.3605003825964481,0.28454194088299656,0.3369675611747951,0.4827578696571861,0.059712515483831365,R
10,0.9233629711655331,0.8315168075189966,0.5036219971901026,0.722706923890077,0.4880484863353004,M
11,0.10316756688327408,0.01932725292753972,0.5434332849491382,0.28066372509580895,0.5340665507068372,R
12,0.5931793927152436,0.9449664093517081,0.8761933171243268,0.7161283753595087,0.8198267967300795,M
13,0.7580726369604196,0.41668563404898673,0.5075701501576155,0.7920376669245577,0.716884643978217,M
14,0.1810147183271584,0.30364379935187996,0.19291361927810147,0.48862610995522854,0.018589231509239263,R
15,0.7258177684260485,0.852618599845038,0.4997632489542282,0.49176368660286596,0.748979674446248,M
16,0.4591884412958242,0.4236355677440965,0.4486735612463277,0.08477359090624323,0.17744213764913697,R
17,0.4290204639596916,0.48198948287102283,0.4158538265792046,0.45259826134841163,0.5397150845121127,M
18,0.7794398625107728,0.6603647773636717,0.9311144539181568,0.6818769706114136,0.43942621240338753,M
19,0.8646008935500417,0.6293953927455174,0.7713022362559039,0.8041050395927982,0.610734314862955,M
20,0.9386813230305617,0.7507825508299857,0.7130794118478223,0.7785473450922067,0.7753523710496123,M
21,0.4273371744715784,0.54469339160482,0.486888038859113,0.5540994037248439,0.932344938964009,M
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,0.5179751910725299,0.9878101336032941,0.46566813803401924,0.47744404256350664,0.9664144194280035,M
51,0.5999235062131734,0.716175185006459,0.6831357244921512,0.8734742224826678,0.4747216309417452,M
52,0.8172452259132739,0.7862858026463844,0.7727555830132667,0.9262201965922168,0.8252890596563285,M
53,0.8844209752886838,0.4278673610039171,0.919548142517147,0.9531790051953071,0.43888392564116296,M
54,0.8605549080180439,0.5685620013680197,0.6782337338286395,0.830198201889476,0.5146533150007176,M
55,0.5752636004604265,0.4683919032478518,0.683229481303609,0.933324500334487,0.9073989160054303,M
56,0.7185419739987396,0.8303175681922821,0.4881889243034229,0.6384484153680473,0.429337765400866,M
